question,answer_1,answer_2,answer_3,answer_4,correct_answer_1,correct_answer_2
Was ist der Hauptzweck von AWS Migration Hub?,Zentralisierung und Überwachung von Migrationsaufgaben,Speicherung von Objektdaten,Netzwerk-Performance-Analyse,Email-Sicherheitsmanagement,Zentralisierung und Überwachung von Migrationsaufgaben,
Was bietet AWS DataSync?,Automatisierte Datenübertragung zwischen On-Premises und AWS,Content Delivery Network,Verbesserte Netzwerksicherheit,Cloud-basierte Videokonferenzen,Automatisierte Datenübertragung zwischen On-Premises und AWS,
Für was wird AWS Transfer Family verwendet?,"Sichere Übertragung von Daten über Protokolle wie SFTP, FTPS und FTP",Langfristige Datenspeicherung,Webanwendungsschutz,Anwendungsentwicklung,"Sichere Übertragung von Daten über Protokolle wie SFTP, FTPS und FTP",
Welchen Vorteil bietet AWS Snowball?,Physische Datentransfergeräte für große Datenmengen,Optimierung von SQL-Datenbankabfragen,Datenanalyse in Echtzeit,Schnelle Anwendungsentwicklung,Physische Datentransfergeräte für große Datenmengen,
Was ermöglicht AWS Database Migration Service (DMS)?,"Einfache Migration von Datenbanken zu AWS, ohne Ausfallzeiten",Verbesserte Datenverschlüsselung,Datenbankabfrage-Optimierung,Automatisierte Netzwerküberwachung,"Einfache Migration von Datenbanken zu AWS, ohne Ausfallzeiten",
Wie unterstützt AWS Application Discovery Service die Migration?,Durch Sammeln von Informationen über On-Premises-Datenzentren zur Planung von Migrationsprojekten,Durch Bereitstellung neuer Anwendungen in der Cloud,Durch Erhöhung der Internetgeschwindigkeit,Durch Optimierung der Cloud-Speicherkosten,Durch Sammeln von Informationen über On-Premises-Datenzentren zur Planung von Migrationsprojekten,
Was ist die Funktion von AWS Snowmobile?,"Transfer extrem großer Datenmengen, wie Exabytes, in die Cloud",Streaming von Videodaten,Verbesserung der Netzwerksicherheit,Analyse von Kundenverhaltensdaten,"Transfer extrem großer Datenmengen, wie Exabytes, in die Cloud",
Welche Rolle spielt AWS Server Migration Service?,Automatisierung der Migration von virtuellen Maschinen zur AWS Cloud,Verwaltung von Netzwerkeinstellungen,Bereitstellung von Software-Updates,E-Mail-Archivierung,Automatisierung der Migration von virtuellen Maschinen zur AWS Cloud,
Was ist AWS Snowcone?,"Ein kleines, tragbares Edge-Computing und Datenübertragungsgerät",Eine große Datenbank für Cloud-Dienste,Ein Tool zur Netzwerksicherheit,Eine Plattform für die Entwicklung mobiler Anwendungen,"Ein kleines, tragbares Edge-Computing und Datenübertragungsgerät",
Wie funktioniert AWS Direct Connect?,Bietet eine dedizierte Netzwerkverbindung von On-Premises zu AWS,Verbessert die Videoqualität von Streaming-Diensten,Beschleunigt die Auslieferung von Webinhalten,Stellt eine zusätzliche Sicherheitsebene für Netzwerke bereit,Bietet eine dedizierte Netzwerkverbindung von On-Premises zu AWS,
Welchen Zweck hat AWS Application Migration Service?,Vereinfacht die Migration von Anwendungen zur AWS Cloud,Automatisiert Marketingkampagnen,Optimiert Datenbankleistung,Verwaltet Cloud-basierte Mitarbeiterressourcen,Vereinfacht die Migration von Anwendungen zur AWS Cloud,
Was ist eine Hauptfunktion von AWS CloudEndure Migration?,Ermöglicht minimale Ausfallzeiten während der Cloud-Migration,Verbessert die Analyse von Geschäftsdaten,Bietet spezielle Speicheroptionen für Medieninhalte,Erhöht die Anzahl der Benutzerzugriffe,Ermöglicht minimale Ausfallzeiten während der Cloud-Migration,
Was ist das Hauptmerkmal von AWS Snowball Edge?,Ein Datentransfergerät mit Onboard-Storage und Rechenkapazität,Erhöht die Speicherkapazität von Datenbanken,Verschlüsselt Datenübertragungen,Optimiert das Netzwerk-Routing,Ein Datentransfergerät mit Onboard-Storage und Rechenkapazität,
Wofür wird AWS Transfer for SFTP hauptsächlich eingesetzt?,Zur sicheren Übertragung von Daten über das SFTP-Protokoll,Zur Speicherung von Webseiten-Daten,Zur Analyse von Nutzungsdaten,Zur Überwachung von Netzwerkleistung,Zur sicheren Übertragung von Daten über das SFTP-Protokoll,
Was ist AWS Snowball Edge Storage Optimized?,Spezialisiert auf lokale Speicher- und Verarbeitungsanforderungen mit hoher Kapazität,Zur Optimierung der Datenbankleistung,Zur Reduzierung der Latenz bei Netzwerkverbindungen,Zur Verbesserung der Datenvisualisierung,Spezialisiert auf lokale Speicher- und Verarbeitungsanforderungen mit hoher Kapazität,
