question,answer_1,answer_2,answer_3,answer_4,correct_answer_1,correct_answer_2
Was ist der Hauptzweck von AWS AppConfig?,Bereitstellung von virtuellen Maschinen,Verwaltung von Laufzeitkonfigurationen,Netzwerksicherheit,Speicherung von Objektdaten,Verwaltung von Laufzeitkonfigurationen,
Wie können Sie mit der AWS CLI AWS-Ressourcen verwalten? (mehrere koennen richtig sein),Durch manuelle Eingaben,Durch Skripte,Über eine grafische Benutzeroberfläche,Durch automatische Skalierung,Durch Skripte,Duch manuelle Eingaben
Was ist die Hauptfunktion der AWS Management Console?,Blockspeicherlösungen,Webbasierte Benutzeroberfläche für Ressourcenmanagement,Browserbasierte IDE,Tool zur Leistungsüberwachung,Webbasierte Benutzeroberfläche für Ressourcenmanagement,
Was ermöglicht AWS Cloud9?,Protokollierung von API-Aufrufen,Management von Identitäten,Entwicklung in einer integrierten Cloud-IDE,Direkter Hardwarezugriff,Entwicklung in einer integrierten Cloud-IDE,
Für was wird AWS CloudShell primär verwendet?,Direkter Shell-Zugriff auf AWS-Ressourcen,Datenbankmanagement,Machine Learning Modelltraining,Webanwendungshosting,Direkter Shell-Zugriff auf AWS-Ressourcen,
Was erleichtert AWS Amplify?,Automatisierte Softwarebereitstellungen,Erstellung von Web- und Mobilanwendungen,Betrieb von Kubernetes,Management von Cloud-Ressourcen,Erstellung von Web- und Mobilanwendungen,
Wofür wird AWS AppSync hauptsächlich verwendet?,Management eines GraphQL-Services,Verwaltung von Softwarelizenzen,Bereitstellung von physischen Geräten,Überwachung von AWS-Ressourcen,Management eines GraphQL-Services,
Was bietet AWS Device Farm?,Datenmigrationstools,Analysen von Mikroservices,Testen auf physischen Geräten,Konfigurationsmanagement,Testen auf physischen Geräten,
Wie funktioniert AWS Auto Scaling?,Startet virtuelle Maschinen,Passt Ressourcen automatisch an,Verwaltet Benutzeridentitäten,Ermöglicht das Scripting von Operationen,Passt Ressourcen automatisch an,
Was ist die Hauptfunktion von AWS Control Tower?,Direkte Bearbeitung von Code,Automatisierte Governance für AWS-Umgebungen,Analyse von Benutzerinteraktionen,Management von Netzwerksicherheit,Automatisierte Governance für AWS-Umgebungen,
Welchen Zweck erfüllt das AWS Health Dashboard?,Speicherung und Bereitstellung von Artefakten,Continuous Integration und Delivery,Verwaltung von Organisationsrichtlinien,Anzeige des Zustands von AWS-Ressourcen,Anzeige des Zustands von AWS-Ressourcen,
Was ermöglicht AWS CloudFormation?,Erstellung und Management von virtuellen Netzwerken,Leistungsanalyse und Optimierungsvorschläge,Automatisierte Bereitstellung von Anwendungen,Infrastruktur als Code einzurichten und zu verwalten,Infrastruktur als Code einzurichten und zu verwalten,
Was bietet AWS Organizations?,Direkter Hardwarezugriff,Echtzeit-Datenbankmanagement,Verwaltung von Zugriff und Compliance für mehrere Konten,Systemintegritätsüberwachung,Verwaltung von Zugriff und Compliance für mehrere Konten,
Was ist eine Kernfunktion von AWS Systems Manager?,Protokollierung von Sicherheitsereignissen,Optimierung von Netzwerkverkehr,Validierung von Anwendungskonfigurationen,Zentrales Management von AWS-Ressourcen,Zentrales Management von AWS-Ressourcen,
Was ermöglicht das AWS Well-Architected Tool?,Bewertung und Verbesserung der Architektur nach AWS-Best Practices,Entwicklung und Bereitstellung von Anwendungen,Überwachung der Netzwerkleistung,Automatisches Testen von Anwendungen,Bewertung und Verbesserung der Architektur nach AWS-Best Practices,
