question,answer_1,answer_2,answer_3,answer_4,correct_answer_1,correct_answer_2
Was ist der Hauptzweck von Amazon VPC?,Bereitstellung eines isolierten Abschnitts der AWS Cloud,Speicherung von Daten,Netzwerksicherheit,Verwaltung von AWS-Preisen,Bereitstellung eines isolierten Abschnitts der AWS Cloud,
Welche Funktion bietet Amazon Route 53?,DNS-Web-Service,Text-in-Sprache-Umwandlung,Graph-Datenbank-Service,Hardware-Sicherheitsmodul,DNS-Web-Service,
Was ermöglicht AWS Direct Connect?,Dedizierte Netzwerkverbindung von On-Premises zu AWS,Verbesserung der Videoqualität von Streaming-Diensten,Beschleunigt die Auslieferung von Webinhalten,Stellt eine zusätzliche Sicherheitsebene für Netzwerke bereit,Dedizierte Netzwerkverbindung von On-Premises zu AWS,
Was ist der Hauptzweck von Amazon CloudFront?,"Content Delivery Network (CDN) zur schnellen Auslieferung von Daten, Videos, Anwendungen",Speicherung von Big Data,Verbesserung der Datenbanksicherheit,Management von AWS-Preisen,"Content Delivery Network (CDN) zur schnellen Auslieferung von Daten, Videos, Anwendungen",
Welche Funktion hat AWS Global Accelerator?,Verbesserung der Anwendungsverfügbarkeit und Leistung durch Verkehrsumleitung auf optimierte Pfade,Speicherung von Daten in der Cloud,Direkte Ausführung von SQL-Abfragen auf S3-Daten,Erstellung und Verwaltung relationaler Datenbanken,Verbesserung der Anwendungsverfügbarkeit und Leistung durch Verkehrsumleitung auf optimierte Pfade,
Was ist ein AWS Transit Gateway?,Verbindet mehrere VPCs und On-Premises-Netzwerke über ein zentrales Hub,Erhöht die Geschwindigkeit der Datenverarbeitung,Bietet verbesserte Sicherheitsfunktionen für Webanwendungen,Stellt eine Plattform für maschinelles Lernen bereit,Verbindet mehrere VPCs und On-Premises-Netzwerke über ein zentrales Hub,
Wie hilft Amazon CloudFront bei der Sicherheit?,Integration mit AWS-Sicherheitsservices wie AWS Shield für DDoS-Schutz,Verbesserung der Performance von Datenbanken,Erhöhung der Speicherkapazität,Reduzierung der Kosten für Cloud-Speicherung,Integration mit AWS-Sicherheitsservices wie AWS Shield für DDoS-Schutz,
Was ist ein VPC Peering?,"Verbindung zwischen zwei VPCs, die es ermöglicht, dass Ressourcen in den verschiedenen VPCs miteinander kommunizieren, als wären sie im gleichen Netzwerk",Ein Datenbankverwaltungssystem,Eine Methode zur Datenverschlüsselung,Eine Performance-Verbesserungstechnik,"Verbindung zwischen zwei VPCs, die es ermöglicht, dass Ressourcen in den verschiedenen VPCs miteinander kommunizieren, als wären sie im gleichen Netzwerk",
Was ist AWS PrivateLink?,Ermöglicht privaten Zugang zu AWS-Services und VPC Endpoints ohne Nutzung des Internets,Erhöht die Geschwindigkeit der Datenübertragung,Bietet verbesserte Sicherheitsfeatures für Webanwendungen,Verbessert die Netzwerkleistung,Ermöglicht privaten Zugang zu AWS-Services und VPC Endpoints ohne Nutzung des Internets,
Was ist eine Amazon Route 53 Resolver?,"DNS-Service, der die Namensauflösung zwischen VPCs und On-Premises-Netzwerken erleichtert",Tool zur Verbesserung der Datenbankperformance,Service zur Datenvisualisierung,Methode zur Reduzierung der Datenübertragungskosten,"DNS-Service, der die Namensauflösung zwischen VPCs und On-Premises-Netzwerken erleichtert",
Wie funktioniert Amazon CloudFront zur Beschleunigung der Inhaltsauslieferung?,Durch Verwendung eines weltweit verteilten Netzwerks von Cachespeichern,Optimierung von Netzwerkhardware,Steigerung der Datenbankleistung,Verbesserung der Anwendungssicherheit,Durch Verwendung eines weltweit verteilten Netzwerks von Cachespeichern,
Welchen Zweck erfüllt der AWS App Mesh?,Vereinfacht die Netzwerk- und Kommunikationssteuerung zwischen Mikroservices,Optimierung der physischen Netzwerkgeräte,Reduzierung der Cloud-Speicherkosten,Verbesserung der Datenverschlüsselungstechniken,Vereinfacht die Netzwerk- und Kommunikationssteuerung zwischen Mikroservices,
Was ist ein Edge-Standort in Bezug auf Amazon CloudFront?,"Standort, der verwendet wird, um Inhalte näher an den Benutzer zu liefern, um Latenz zu minimieren",Platz zur Speicherung von Backups,Virtuelle Maschine zur Steigerung der Rechenkapazität,Tool zur Überwachung der Netzwerkleistung,"Standort, der verwendet wird, um Inhalte näher an den Benutzer zu liefern, um Latenz zu minimieren",
