frage,antwort_1,antwort_2,antwort_3,antwort_4,richtige_antwort_1,richtige_antwort_2
Was ist die primäre Funktion von Amazon EC2?,Bereitstellung skalierbarer virtueller Server,Speicherung von Daten,Verwaltung von Netzwerkverkehr,Hosting von Webseiten,Bereitstellung skalierbarer virtueller Server,
Welches Merkmal unterscheidet Amazon EC2 am meisten von anderen AWS Computing Services?,Die Möglichkeit, Betriebssystem und Anwendungen frei zu wählen,Die Nutzung von serverlosem Computing,Das Hosting statischer Webseiten,Die Bereitstellung von Machine Learning Modellen,Die Möglichkeit, Betriebssystem und Anwendungen frei zu wählen,
Was ermöglicht die EC2 Auto Scaling Funktion?,Automatische Anpassung der Instanzenzahl an die Last,Einrichten einer relationalen Datenbank,Erstellung von Backup-Kopien,Management von API-Gateway,Automatische Anpassung der Instanzenzahl an die Last,
Wie wird der Preis für die Nutzung von Amazon EC2 hauptsächlich bestimmt?,Durch die Instanzgröße und die Betriebszeit,Durch die Menge der gespeicherten Daten,Durch die Anzahl der API-Aufrufe,Durch die Bandbreite der Internetverbindung,Durch die Instanzgröße und die Betriebszeit,
Welche Amazon EC2-Kaufoption ermöglicht den größten Rabatt bei langfristiger Nutzung?,Reservierte Instanzen,On-Demand-Instanzen,Spot-Instanzen,Dedicated Hosts,Reservierte Instanzen,
Was sind Amazon EC2 Spot-Instanzen?,Instanzen, die zu einem reduzierten Preis verfügbar sind, wenn AWS Kapazitäten übrig hat,Standard-Instanzen mit fester Preisgestaltung,Instanzen mit erweiterten Sicherheitsfunktionen,Instanzen für spezifische Anwendungen wie Gaming,Instanzen, die zu einem reduzierten Preis verfügbar sind, wenn AWS Kapazitäten übrig hat,
Was ist eine Amazon EC2 Dedicated Host?,Ein physischer Server mit EC2 Instanzkapazität exklusiv reserviert für Ihre Nutzung,Eine öffentliche Datenbankplattform,Ein spezialisierter Service für Netzwerksicherheit,Ein Dienst zur Datenverschlüsselung,Ein physischer Server mit EC2 Instanzkapazität exklusiv reserviert für Ihre Nutzung,
Für welchen Zweck könnte man Amazon EC2 Elastic GPUs verwenden?,Zur Bereitstellung zusätzlicher Grafikverarbeitungskapazität für Instanzen,Zur Verbesserung der Netzwerksicherheit,Zur automatischen Skalierung von Datenbankdiensten,Zur Analyse großer Datenmengen,Zur Bereitstellung zusätzlicher Grafikverarbeitungskapazität für Instanzen,
Welche Funktion bietet Amazon EC2 Elastic IP?,Bietet eine statische IP-Adresse für dynamisches Cloud-Computing,Ermöglicht die schnelle Skalierung von Datenbankdiensten,Bietet zusätzlichen Speicherplatz für Instanzen,Vereinfacht die Verwaltung von Benutzeridentitäten,Bietet eine statische IP-Adresse für dynamisches Cloud-Computing,
Welche Sicherheitsfunktion ist direkt in Amazon EC2 integriert?,Sicherheitsgruppen zur Kontrolle des eingehenden und ausgehenden Netzwerkverkehrs,Automatisierte Datenverschlüsselung,Integrierte Virenschutzsoftware,Cloud-basierte Firewall-Dienste,Sicherheitsgruppen zur Kontrolle des eingehenden und ausgehenden Netzwerkverkehrs,
Welche Option bietet AWS zur Verwaltung von EC2-Instanzen?,AWS Management Console,Eine dedizierte Desktop-Anwendung,Ein hardwarebasiertes Management-Tool,Ein spezialisierter externer Dienstleister,AWS Management Console,
Wie kann man Amazon EC2 Instanzen in Bezug auf Netzwerkverkehr isolieren?,Durch die Verwendung von Amazon VPC,Durch die Verwendung einer öffentlichen IP-Adresse,Durch die Anbindung an Amazon S3,Durch die Bereitstellung in AWS Global Accelerator,Durch die Verwendung von Amazon VPC,
Was ist das AWS EC2 Instance Store Feature?,Temporärer Speicher auf physischen Laufwerken, die direkt an die Host-Computer angeschlossen sind,Dauerhafter Datenspeicher in der Cloud,Ein Datenbankverwaltungsservice,Ein Backup-Service für Daten,Temporärer Speicher auf physischen Laufwerken, die direkt an die Host-Computer angeschlossen sind,
Was beschreibt die Funktion von Amazon EC2 Reserved Instances?,Reduzierte Kosten durch Verpflichtung zu einer Nutzungsdauer von einem oder mehreren Jahren,Beschleunigte Datenanalyse,Optimierte Netzwerkverbindungen,Erweiterte Sicherheitsprotokolle,Reduzierte Kosten durch Verpflichtung zu einer Nutzungsdauer von einem oder mehreren Jahren,
Wie funktionieren Amazon EC2 Spot-Instanzen im Vergleich zu anderen Instanztypen?,Sie bieten ungenutzte EC2-Kapazitäten zu niedrigeren Preisen an,Ermöglichen den dauerhaften Zugriff auf physische Server,Erhöhen die Geschwindigkeit der Datenverarbeitung,Bieten erweiterte Netzwerksicherheit,Sie bieten ungenutzte EC2-Kapazitäten zu niedrigeren Preisen an,
