question,answer_1,answer_2,answer_3,answer_4,correct_answer_1,correct_answer_2
Was ist der Hauptzweck von AWS IAM?,Verwaltung von Identitäten und Zugriffsrechten für AWS-Ressourcen,Speicherung von Daten,Netzwerksicherheit,Verwaltung von AWS-Preisen,Verwaltung von Identitäten und Zugriffsrechten für AWS-Ressourcen,
Welche Funktion bietet AWS Artifact?,Zugriff auf Compliance-Berichte und Sicherheitsdokumentationen von AWS,Optimierung der Datenbankleistung,Verbesserung der Netzwerksicherheit,Management von Datenbanken,Zugriff auf Compliance-Berichte und Sicherheitsdokumentationen von AWS,
Wie unterstützt AWS CloudTrail die Sicherheitsüberwachung?,Durch Protokollierung und Überwachung von API-Aufrufen für AWS-Konten,Verbesserung der Videoqualität von Streaming-Diensten,Steigerung der Datenbankleistung,Verbesserung der Netzwerksicherheit,Durch Protokollierung und Überwachung von API-Aufrufen für AWS-Konten,
Was ermöglicht AWS Shield?,Schutz vor Distributed Denial of Service (DDoS)-Angriffen,Optimierung der Speicherkosten,Erhöhung der Netzwerkbandbreite,Verbesserung der Anwendungssicherheit,Schutz vor Distributed Denial of Service (DDoS)-Angriffen,
Welche Funktion bietet AWS WAF (Web Application Firewall)?,Schutz von Webanwendungen vor häufigen Web-Exploits und -Angriffen,Verbesserung der Datenbankzugriffszeiten,Verwaltung von Netzwerkswitches,Verbesserung der Sicherheit von Webanwendungen,Schutz von Webanwendungen vor häufigen Web-Exploits und -Angriffen,
Wie hilft AWS Config bei der Compliance?,Überwachung und Aufzeichnung von AWS-Ressourcenkonfigurationen und Änderungen zur Unterstützung der Compliance,Optimierung der Datenübertragungsgeschwindigkeit,Steigerung der Datenbankleistung,Verbesserung der Netzwerksicherheit,Überwachung und Aufzeichnung von AWS-Ressourcenkonfigurationen und Änderungen zur Unterstützung der Compliance,
Was ist AWS Key Management Service (KMS)?,Verwaltung von Verschlüsselungsschlüsseln für Daten in AWS-Diensten,Verbesserung der Netzwerksicherheit,Management von Datenbanken,Erhöhung der Netzwerkbandbreite,Verwaltung von Verschlüsselungsschlüsseln für Daten in AWS-Diensten,
Wie unterstützt AWS Security Hub die Sicherheitsüberwachung?,Durch Aggregation und Priorisierung von Sicherheitswarnungen und Compliance-Status,Optimierung der Datenbankleistung,Verbesserung der Netzwerksicherheit,Management von Datenbanken,Durch Aggregation und Priorisierung von Sicherheitswarnungen und Compliance-Status,
Was ist der Zweck von Amazon GuardDuty?,Bedrohungsüberwachung und -erkennung zum Schutz von AWS-Konten und Workloads,Verbesserung der Videoqualität von Streaming-Diensten,Steigerung der Datenbankleistung,Verbesserung der Anwendungssicherheit,Bedrohungsüberwachung und -erkennung zum Schutz von AWS-Konten und Workloads,
Welche Funktion bietet AWS Inspector?,Automatisierte Sicherheitsbewertung zur Verbesserung der Sicherheit und Compliance von Anwendungen,Optimierung der Datenbankzugriffszeiten,Verwaltung von Netzwerkswitches,Verbesserung der Sicherheit von Webanwendungen,Automatisierte Sicherheitsbewertung zur Verbesserung der Sicherheit und Compliance von Anwendungen,
Wie unterstützt AWS Certificate Manager (ACM) die Sicherheit?,Provision, Management und Bereitstellung von SSL/TLS-Zertifikaten,Optimierung der Datenübertragungsgeschwindigkeit,Steigerung der Datenbankleistung,Verbesserung der Netzwerksicherheit,Provision, Management und Bereitstellung von SSL/TLS-Zertifikaten,
Was ist der Zweck von AWS Secrets Manager?,Verwaltung des Zugriffs auf Geheimnisse, die zum Zugriff auf Anwendungen, Dienste und IT-Ressourcen benötigt werden,Optimierung der Datenübertragungsgeschwindigkeit,Steigerung der Datenbankleistung,Verbesserung der Netzwerksicherheit,Verwaltung des Zugriffs auf Geheimnisse, die zum Zugriff auf Anwendungen, Dienste und IT-Ressourcen benötigt werden,
Wie hilft AWS CloudHSM bei der Sicherheit?,Bietet Hardware-Sicherheitsmodule (HSM) zur sicheren Speicherung und Verwaltung von Verschlüsselungsschlüsseln,Verbesserung der Datenbankzugriffszeiten,Verwaltung von Netzwerkswitches,Verbesserung der Sicherheit von Webanwendungen,Bietet Hardware-Sicherheitsmodule (HSM) zur sicheren Speicherung und Verwaltung von Verschlüsselungsschlüsseln,
Welche Funktion bietet AWS Identity and Access Management (IAM)?,Verwaltung des Zugriffs auf AWS-Ressourcen durch Benutzer und Gruppen,Optimierung der Datenübertragungsgeschwindigkeit,Steigerung der Datenbankleistung,Verbesserung der Netzwerksicherheit,Verwaltung des Zugriffs auf AWS-Ressourcen durch Benutzer und Gruppen,
Was ist AWS Directory Service?,Verwaltung von Benutzeridentitäten und Gruppen mit Microsoft Active Directory in der AWS Cloud,Verbesserung der Datenbankzugriffszeiten,Verwaltung von Netzwerkswitches,Verbesserung der Sicherheit von Webanwendungen,Verwaltung von Benutzeridentitäten und Gruppen mit Microsoft Active Directory in der AWS Cloud,
Wie unterstützt AWS Audit Manager die Compliance?,Durch Automatisierung der Sammlung von Compliance-bezogenen Beweisen,Optimierung der Datenübertragungsgeschwindigkeit,Steigerung der Datenbankleistung,Verbesserung der Netzwerksicherheit,Durch Automatisierung der Sammlung von Compliance-bezogenen Beweisen,
