question,answer_1,answer_2,answer_3,answer_4,correct_answer_1,correct_answer_2
Was ist der Hauptzweck von Amazon ECS (Elastic Container Service)?,Orchestrierung von Docker-Containern,Speicherung von Big Data,Durchführung von Machine Learning Modellen,Verschlüsselung von Daten,Orchestrierung von Docker-Containern,
Was bietet AWS Fargate?,Serverlose Ausführung von Containern,Automatisierte Datenanalyse,Verbesserte Netzwerksicherheit,Cloud-basierte Videokonferenzen,Serverlose Ausführung von Containern,
Welche Funktion hat Amazon EKS (Elastic Kubernetes Service)?,Verwaltung von Kubernetes-Clustern in AWS,Langfristige Datenspeicherung,Webanwendungsschutz,Anwendungsentwicklung,Verwaltung von Kubernetes-Clustern in AWS,
Wie interagiert Amazon ECR (Elastic Container Registry) mit anderen AWS-Diensten?,Speichert und verwaltet Docker-Container-Images,Ermöglicht das Hosting von Webanwendungen,Verwaltet Netzwerksicherheit,Führt komplexe Datenanalysen durch,Speichert und verwaltet Docker-Container-Images,
Wie unterstützt Amazon EventBridge die Anwendungsintegration?,Durch das Routing von Ereignissen zwischen AWS-Diensten und Anwendungen,Bereitstellung von Virtual Private Networks,Speicherung und Verwaltung von Schlüssel-Wert-Daten,Verbesserung der Anwendungssicherheit,Durch das Routing von Ereignissen zwischen AWS-Diensten und Anwendungen,
Was ist eine Hauptfunktion von Amazon SQS (Simple Queue Service)?,Nachrichtenwarteschlangendienst zur Entkopplung von Mikroservices,Relationale Datenbankdienste,Webseiten-Hosting,Direkte Serverbereitstellung,Nachrichtenwarteschlangendienst zur Entkopplung von Mikroservices,
Wie funktioniert AWS AppSync?,Verwaltet einen GraphQL-Service für flexible API-Designs,Bietet dedizierte Hosting-Lösungen,Ermöglicht die automatische Skalierung von Netzwerkressourcen,Verschlüsselt Datenübertragungen,Verwaltet einen GraphQL-Service für flexible API-Designs,
Was ermöglicht AWS Step Functions?,Koordination von Komponenten und Mikroservices durch Visualisierung als Workflows,Automatisierte Netzwerküberwachung,Datensicherung in der Cloud,Erstellung von Content Delivery Networks,Koordination von Komponenten und Mikroservices durch Visualisierung als Workflows,
Was ist die Funktion von Amazon SNS (Simple Notification Service)?,Vollständig verwalteter Pub/Sub-Nachrichtendienst,Management von Datenbankverbindungen,Schutz von Webanwendungen vor Angriffen,Cloud-basierte Speicherlösungen,Vollständig verwalteter Pub/Sub-Nachrichtendienst,
Wie unterstützt AWS Lambda die Anwendungsintegration?,Durch Ausführung von Code in Reaktion auf Ereignisse aus anderen AWS-Services,Verbesserung der Netzwerksicherheit,Direkte Ausführung von SQL-Abfragen auf S3-Daten,Hosting von großen Datenbanken,Durch Ausführung von Code in Reaktion auf Ereignisse aus anderen AWS-Services,
Welche Vorteile bietet Amazon EKS im Vergleich zu Amazon ECS?,Kubernetes-konforme Verwaltung neben der Docker-Orchestrierung,Erweiterte Verschlüsselungsoptionen,Besseres Content-Management-System,Verbesserte Netzwerkleistung,Kubernetes-konforme Verwaltung neben der Docker-Orchestrierung,
"Welche AWS-Dienstleistung ermöglicht es, verschiedene AWS-Dienste und SaaS-Anwendungen durch Ereignisse zu verbinden?",Amazon EventBridge,Amazon EC2,Amazon CloudFront,Amazon RDS,Amazon EventBridge,
Was ist ein Hauptmerkmal von AWS Fargate im Kontext der Serverlosigkeit?,Automatisches Management der Server-Infrastruktur,Automatisierte Datenmigration,Höhere Datenübertragungsraten,Verbesserte Benutzerzugriffskontrollen,Automatisches Management der Server-Infrastruktur,
In welchem Szenario ist Amazon SQS besonders nützlich?,"In hochskalierbaren Anwendungen, die lose gekoppelt sind","In Anwendungen, die hohe Netzwerksicherheit benötigen",Bei der direkten Speicherung von Daten auf physischen Geräten,In statischen Website-Hosting-Umgebungen,"In hochskalierbaren Anwendungen, die lose gekoppelt sind",
Was macht AWS AppSync besonders geeignet für mobile Anwendungen?,Echtzeit-Datenabfragen und Offline-Datensynchronisation,Beschleunigte Datenanalyse,Verstärkte Sicherheitsmaßnahmen,Verbesserte Datenvisualisierung,Echtzeit-Datenabfragen und Offline-Datensynchronisation,
Wie unterstützt Amazon ECR die Container-Workflows?,Durch Bereitstellung eines sicheren Speicherorts für Container-Images,Zur Verbesserung der Anwendungsentwicklungszeiten,Zur Erhöhung der Netzwerkverfügbarkeit,Zur Optimierung von Datenbankabfragen,Durch Bereitstellung eines sicheren Speicherorts für Container-Images,
