frage,antwort_1,antwort_2,antwort_3,antwort_4,richtige_antwort_1,richtige_antwort_2
Was ist der Hauptzweck von Amazon S3?,Objekt-basierte Datenspeicherung,Bereitstellung von virtuellen Servern,Netzwerkmanagement,E-Mail-Dienste,Objekt-basierte Datenspeicherung,
Welches Feature bietet Amazon EBS?,Block-basierter Speicher,Funktionalität zur automatischen Skalierung,Graph-Datenbank-Dienste,Entwicklung von Machine Learning Modellen,Block-basierter Speicher,
Was ist die primäre Funktion von Amazon EFS?,Bereitstellung eines verwalteten Dateisystems,Speicherung von NoSQL-Daten,Content Delivery Network,Web Application Firewall,Bereitstellung eines verwalteten Dateisystems,
Welcher AWS-Dienst ist optimal für die Skalierung von Datenbankanwendungen in der Cloud?,Amazon RDS,Amazon CloudFront,Amazon EC2,Amazon CloudSearch,Amazon RDS,
Was bietet Amazon Glacier?,Langfristige Datenspeicherung mit niedrigen Kosten,Direkte Ausführung von Code,Optimierte Bereitstellung von Inhalten,Management von Netzwerksicherheit,Langfristige Datenspeicherung mit niedrigen Kosten,
Welche Vorteile bietet Amazon FSx?,Spezialisierte Dateispeicheroptionen für Anwendungen,E-Mail-Sicherheitsdienste,Serverless-Computing,Datensynchronisation zwischen Geräten,Spezialisierte Dateispeicheroptionen für Anwendungen,
Was ist die Hauptfunktion von Amazon Neptune?,Verwaltung von Graph-Datenbanken,Speicherung von Blockdaten,Anbieten von Content Delivery Netzwerk,Durchführung von Online-Werbekampagnen,Verwaltung von Graph-Datenbanken,
Welches Feature macht Amazon DynamoDB besonders geeignet für Web-Scale-Anwendungen?,Automatische Skalierung von Durchsatzkapazitäten,Bereitstellung von Betriebssystemen,Langzeitarchivierung von E-Mails,Direkte Serverbereitstellung,Automatische Skalierung von Durchsatzkapazitäten,
Was sind die Hauptvorteile der Nutzung von Amazon Aurora?,Hohe Leistung und Kompatibilität mit MySQL und PostgreSQL,Automatisierte Netzwerküberwachung,Datenverschlüsselung auf Anwendungsebene,Integration mit Direktwerbung,Hohe Leistung und Kompatibilität mit MySQL und PostgreSQL,
Für welche Art von Daten ist Amazon Redshift optimiert?,Datenanalyse und Data-Warehouse-Szenarien,Sicherheitsmanagement,Performance Monitoring,Softwarelizenzverwaltung,Datenanalyse und Data-Warehouse-Szenarien,
Welche AWS-Dienstleistung bietet dedizierten Hardwarezugang für Datenbanken?,Amazon RDS on VMware,Amazon EC2 Auto Scaling,Amazon S3 Glacier,Amazon CloudFront,Amazon RDS on VMware,
Wie unterstützt Amazon MemoryDB for Redis die Datenverarbeitung?,Durch Bereitstellung eines Redis-kompatiblen In-Memory-Datenspeichers,Erstellung und Verwaltung von Sicherheitsrichtlinien,Langzeitdatenspeicherung,Skalierung von Netzwerkressourcen,Durch Bereitstellung eines Redis-kompatiblen In-Memory-Datenspeichers,
Welche Funktion hat Amazon DocumentDB?,Verwaltung von dokumentenorientierten Datenbanken,E-Mail-Verschlüsselung,Automatisches Löschen von Dateien,Netzwerkkonfiguration,Verwaltung von dokumentenorientierten Datenbanken,
Was ist eine typische Anwendung für Amazon Quantum Ledger Database (QLDB)?,Führung eines manipulationssicheren Transaktionsprotokolls,Speicherung großer Mediendateien,Management von Netzwerkverkehr,Hosting von dynamischen Webseiten,Führung eines manipulationssicheren Transaktionsprotokolls,
Was ist Amazon Keyspaces?,Ein verwalteter Cassandra-kompatibler Datenbankservice,Cloud-basierte Softwareentwicklung,Erweiterte E-Mail-Sicherheitsfunktionen,VPN-Dienste,Ein verwalteter Cassandra-kompatibler Datenbankservice,
