question,answer_1,answer_2,answer_3,answer_4,correct_answer_1,correct_answer_2
Was ist der Hauptzweck von Amazon SageMaker?,"Plattform zum Erstellen, Trainieren und Bereitstellen von Machine-Learning-Modellen in jeder Größenordnung",Verbesserung der Netzwerksicherheit,Management von Datenbanken,Direkte Anbindung an physische Netzwerke,"Plattform zum Erstellen, Trainieren und Bereitstellen von Machine-Learning-Modellen in jeder Größenordnung",
Wie unterstützt AWS DeepLens Entwickler beim Erlernen von Machine Learning?,Durch Bereitstellung einer voll integrierten Deep Learning-Kamera zum Erstellen von ML-Projekten,Optimierung von Netzwerkhardware,Steigerung der Datenbankleistung,Verbesserung der Anwendungssicherheit,Durch Bereitstellung einer voll integrierten Deep Learning-Kamera zum Erstellen von ML-Projekten,
Was ist Amazon Polly?,"Text-in-Sprache-Service, der Text in lebensechte Sprache umwandelt",Speicherung von Big Data,Verbesserung der Datenbanksicherheit,Management von AWS-Preisen,"Text-in-Sprache-Service, der Text in lebensechte Sprache umwandelt",
Welche Funktion bietet Amazon Lex?,Erstellung von Konversations-Schnittstellen für Anwendungen,Nutzung der gleichen tiefen Lernfunktionalität wie Alexa,Verbesserung der Netzwerksicherheit,Speicherung von Objektdaten,Erstellung von Konversations-Schnittstellen für Anwendungen,
Wie hilft AWS DeepRacer Entwicklern bei Machine Learning?,Durch die Bereitstellung einer autonomen 1/18-Skala-Rennwagenplattform zum Erlernen von Reinforcement Learning,Erhöhung der Netzwerkbandbreite,Bereitstellung von dedizierten Datenbankservices,Verbesserung der physischen Sicherheitsmaßnahmen,Durch die Bereitstellung einer autonomen 1/18-Skala-Rennwagenplattform zum Erlernen von Reinforcement Learning,
Was ist Amazon Comprehend?,Natürliche Sprachverarbeitung (NLP) zur Extraktion von Informationen,"Identifizierung von Schlüsselphrasen, Orten, Personen, Marken oder Ereignissen",Verbesserung der Anwendungssicherheit,Beschleunigung der Datenmigration,"Natürliche Sprachverarbeitung (NLP) zur Extraktion von Informationen",
Wie interagiert Amazon Textract mit Machine Learning?,Extrahiert Text und Daten aus gescannten Dokumenten mit Machine Learning,Optimierung von Netzwerkhardware,Steigerung der Datenbankleistung,Verbesserung der Anwendungssicherheit,Extrahiert Text und Daten aus gescannten Dokumenten mit Machine Learning,
Was ermöglicht Amazon Forecast?,Erstellung präziser Zeitreihenvorhersagen mit Machine Learning,Verbesserung der Videoqualität von Streaming-Diensten,Beschleunigt die Auslieferung von Webinhalten,Stellt eine zusätzliche Sicherheitsebene für Netzwerke bereit,Erstellung präziser Zeitreihenvorhersagen mit Machine Learning,
Was bietet Amazon Kendra?,Intelligente Suchfunktion auf Basis von Machine Learning,Bietet relevante Antworten auf natürliche Sprachfragen,Verbesserung der Netzwerksicherheit,Speicherung von Objektdaten,Intelligente Suchfunktion auf Basis von Machine Learning,
Was ist Amazon Neptune?,"Vollständig verwalteter Graph-Datenbank-Service, der das maschinelle Lernen unterstützt","Ermöglicht einfache Erstellung und Ausführung von Anwendungen, die mit hoch verbundenen Datensätzen arbeiten",Optimierung der Cloud-Speicherkosten,Bereitstellung von Netzwerkfirewalls,"Vollständig verwalteter Graph-Datenbank-Service, der das maschinelle Lernen unterstützt",
